id,name,email,date_of_birth,signup_date,subscription_status,age
1,John Doe,john.doe@example.com,1985-01-15,2020-11-01,True,40
2,Jane Smith,jane.smith@example.com,1990-05-22,2019-06-17,True,34
3,Bob Johnson,bob.johnson@example,1977-03-30,2018-12-12,False,47
4,Alice Brown,alice.brown@example.com,1982-08-09,2021-01-05,True,42
8,Hannah Brown,heather75@example.net,1952-08-20,2024-02-16,False,72
11,Scott Jones,williamscharles@example.net,1942-08-20,2023-10-10,True,82
13,Todd Hooper,beckermichael@example.net,1992-11-09,2023-07-07,False,32
18,Barbara Watson,wrightlisa@example.net,1966-08-04,2024-02-09,False,58
20,Brian Mendoza,abigaildavis@example.net,1994-07-14,2023-10-25,False,30
22,Jane Ballard,thomaslaura@example.org,2003-10-04,2022-01-19,False,21
25,Haley Harris,qkramer@example.org,1991-07-12,2021-06-09,False,33
29,Cheryl Durham,glassshawn@example.com,1949-04-25,2021-06-11,True,75
30,David Gonzalez,fordlauren@example.net,1934-06-25,2021-02-21,False,90
32,Jill Castaneda,imorrison@example.org,1950-07-31,2023-06-04,False,74
33,James Lopez,efaulkner@example.com,1989-08-26,2022-03-05,False,35
36,Johnny Sanders,timothy87@example.net,1948-06-24,2023-08-21,True,76
37,Ashley Williams,stacey05@example.net,1970-09-08,2022-08-30,True,54
40,Tracey Bowman,bking@example.net,1951-11-14,2022-05-29,True,73
45,Scott Miller,diane87@example.net,1983-04-23,2023-06-10,False,41
50,Michelle Monroe,michaelhuerta@example.org,1969-06-02,2024-04-27,True,55
51,Mckenzie Martinez,yangnatalie@example.net,1969-11-30,2020-01-08,False,55
57,John Davis,rmartinez@example.org,1998-04-04,2020-03-01,True,26
59,Randy Higgins,bthomas@example.com,1961-09-19,2024-01-01,True,63
61,Neil Smith,huntermolly@example.com,1942-12-03,2024-05-09,False,82
67,Mary Simon,arthur73@example.net,1996-11-24,2023-12-31,True,28
72,Daniel Jones,dwaynevargas@example.net,2001-11-18,2020-03-21,False,23
73,Theresa Smith,isnyder@example.com,1936-07-19,2024-03-23,False,88
75,Rebecca Mendoza,scott65@example.net,1980-08-04,2022-12-20,False,44
77,Christopher Carey,ellisonjessica@example.com,1936-10-01,2022-07-05,True,88
78,Michael Adkins,andreasimon@example.net,1982-07-19,2024-04-14,True,42
83,Zachary Johnson,ashleywhite@example.com,1982-02-24,2023-05-16,True,42
85,John Cantrell,laurengill@example.net,1983-10-08,2023-03-07,False,41
86,Joshua Torres,vsantos@example.com,1976-09-14,2020-03-06,True,48
87,Shannon Carter,kgray@example.net,2002-09-06,2021-03-06,True,22
88,Allison Long,boyerkatherine@example.net,1996-05-30,2023-07-31,True,28
89,Marc Garner,cameronblanchard@example.org,1944-10-13,2021-04-26,False,80
93,Janice Garcia,martinezteresa@example.com,1976-03-03,2023-03-19,False,48
96,Dakota Mcmahon,wramirez@example.net,1935-02-18,2021-11-08,False,89
97,Valerie Wolf,martinezdavid@example.net,1968-12-05,2022-11-25,False,56
99,Adrienne Cruz,james60@example.net,1951-09-14,2021-04-29,False,73
101,Tanya Horne,qthompson@example.net,2002-10-30,2022-03-13,False,22
102,Andrea Smith,thomasjasmine@example.net,1955-06-11,2024-03-15,True,69
103,Angela Doyle,ronaldrivers@example.com,1975-04-09,2022-07-20,False,49
104,Alan Hill,janetbrown@example.net,1945-02-21,2020-03-19,True,79
106,Jodi Young,nicholekennedy@example.com,1963-06-11,2020-09-27,True,61
108,Margaret Smith,sheltonjason@example.net,1954-12-05,2020-06-02,True,70
109,Abigail Garcia,stephanieclark@example.net,1977-08-09,2023-08-16,True,47
110,Jessica Bullock,austinbell@example.com,1989-11-21,2021-09-22,False,35
115,Brandon Williams,christy49@example.net,1987-01-30,2021-10-16,False,38
117,Kristen Guzman,jacquelineromero@example.org,1982-01-26,2020-01-10,False,43
118,Jody Gilmore,jenniferharris@example.net,1940-05-27,2023-01-17,False,84
121,Linda Nichols,katherine15@example.net,1946-04-26,2022-09-14,False,78
122,Michael Davis,ruizwilliam@example.com,1994-03-25,2024-04-02,True,30
127,John Smith,mariaharper@example.com,1959-09-30,2022-06-12,True,65
128,David Owens,susan50@example.org,1940-02-25,2020-09-07,False,84
133,Kristi Gray,janicejordan@example.com,1979-02-28,2021-07-10,False,45
136,Lori Key,grayjennifer@example.net,1983-09-20,2023-03-13,True,41
143,Andrew Jensen,mcdowellheidi@example.org,1960-08-26,2024-03-23,False,64
146,Kenneth Greene,jhays@example.net,1982-06-26,2023-09-14,False,42
150,Mark Gonzalez,brian62@example.com,1970-11-09,2021-11-25,True,54
154,Erin Parker,phillipellis@example.org,1972-01-01,2024-02-09,True,53
155,Daniel Johnston,dholt@example.org,1978-07-05,2021-10-10,True,46
156,John Martin,ojohnson@example.org,1968-10-30,2020-03-14,True,56
159,Cameron Kelly,jcross@example.net,1935-05-26,2024-05-20,True,89
160,Erika Thomas,kfox@example.org,1945-11-04,2023-11-17,False,79
161,Christopher Esparza,hwood@example.net,1939-10-01,2021-06-22,True,85
162,Kathleen Leon,contrerasaustin@example.com,1994-06-20,2024-04-08,False,30
163,Anthony Williams,sarahevans@example.org,1940-07-16,2022-10-03,False,84
165,Lynn Lewis,holly22@example.net,1963-11-09,2021-05-15,False,61
168,Patrick Mason,franklinkatherine@example.com,1985-11-11,2022-04-14,True,39
169,Helen Mcguire,danamarquez@example.com,1978-07-25,2021-08-10,True,46
170,Erik Bell,breed@example.org,2004-09-04,2022-02-17,False,20
171,Craig Andrade,danielhanson@example.net,1965-02-19,2020-01-11,True,59
172,Jennifer Pope,jamesvelez@example.org,1973-10-07,2023-10-10,False,51
173,Anthony Good,toddcook@example.net,1972-07-31,2020-07-17,True,52
175,Sean Perez,jefflopez@example.com,1997-09-11,2022-05-31,True,27
177,Dana Howard,amanda49@example.com,1970-11-26,2021-05-13,False,54
179,Bruce Green,roy03@example.org,1975-11-01,2020-04-02,True,49
181,Chad Moore,sferrell@example.com,1936-05-29,2022-05-31,False,88
185,Eric Hill,spencer90@example.com,1992-08-04,2020-01-15,True,32
186,Jessica Cuevas,matthew22@example.org,1957-09-23,2020-05-29,False,67
187,Ashley Payne,mpierce@example.org,1939-10-27,2020-03-11,False,85
190,Andre Carney,parksmatthew@example.org,1964-01-18,2024-04-11,True,61
194,Kurt Carlson,justinkerr@example.org,1943-06-03,2020-08-07,True,81
200,Christine Mahoney,leebrian@example.org,1979-06-03,2022-09-07,True,45
202,Cheryl Perez,joshualee@example.org,2000-03-12,2024-01-28,True,24
203,Jillian Kennedy,michelleboyd@example.org,1933-10-22,2020-05-27,True,91
204,Monique Woods,kaiserrichard@example.com,1964-04-25,2020-12-04,False,60
205,Kathy Ferguson,jessicawallace@example.net,1956-10-19,2022-07-23,False,68
206,Tracy Williams,bparker@example.net,1994-12-25,2023-04-12,True,30
